"Hospital name","Phone number","Street address","Suburb","Postcode","State","Local Hospital Network (LHN)","Primary Health Network area (PHN)","Website","Description","Sector","Beds","Latitude","Longitude"
"Port Macquarie Base Hospital","02 5524 2000","1-31 Wrights Road","Port Macquarie","2444","NSW","Mid North Coast","North Coast","","Large regional hospital with an emergency department","Public","200-500","-31.452335999999999","152.87830400000001"
"Port Macquarie Private Hospital","02 6583 5655","Lake Road","Port Macquarie","2444","NSW","","","www.portmacquarieprivate.com.au/","","Private","50-99","-31.442073000000001","152.909375"
"Port Pirie Regional Health Service","08 8638 4500","Alexander Street","Port Pirie","5540","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/PtPiriehospital","Small hospital with an emergency department","Public","50-99","-33.177339000000003","138.00553300000001"
"Portland District Health","03 5521 0333","Bentinck Street","Portland","3305","Vic","Portland District Health","Western Victoria","www.pdh.net.au","Small hospital","Public","50-99","-38.340713000000001","141.606087"
"Portland Hospital","02 6359 2666","20 Green Street","Portland","2847","NSW","Nepean Blue Mountains","Nepean Blue Mountains","www.nbmlhd.health.nsw.gov.au/Portland-Tabulam-Health-Service","Regional hospital","Public","<50","-33.358415000000001","149.978565"
"Pregnancy Advisory Centre","08 8243 3999","21 Belmore Terrace","Woodville Park","5011","SA","Central Adelaide","Adelaide","http://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/womens+health+services/unplanned+pregnancy+services/south+australia+abortion+and+support+services","Metropolitan hospital","Public","<50","-34.879989999999999","138.54296199999999"
"Prince of Wales Hospital","02 9382 2222","320-346 Barker Street","Randwick","2031","NSW","South Eastern Sydney","Central and Eastern Sydney","www.seslhd.health.nsw.gov.au/prince-of-wales-hospital","Major hospital with an emergency department","Public","200-500","-33.918492000000001","151.23938000000001"
"Prince of Wales Private Hospital","02 9650 4000","Barker Street","Randwick","2031","NSW","","","www.princeofwalesprivatehospital.com.au","","Private","100-199","-33.918492000000001","151.23865900000001"
"Princess Alexandra Hospital","07 3176 2111","199 Ipswich Road","Woolloongabba","4102","Qld","Metro South (Qld)","Brisbane South","www.health.qld.gov.au/services/metrosouth/pa-hosp.asp","Major hospital with an emergency department","Public",">500","-27.499402","153.03354200000001"
"Proserpine Hospital","07 4813 9400","26-34 Taylor Street","Proserpine","4800","Qld","Mackay","Northern Queensland","www.health.qld.gov.au/services/mackay/whitsunday_hs.asp","Small hospital","Public","<50","-20.400016999999998","148.58497600000001"
"QEII Family Centre","02 6205 2333","129 Carruthers Street","Curtin","2605","ACT","Australian Capital Territory","Australian Capital Territory","www.cmsinc.org.au","Early parenting centre","Public","<50","-35.323284000000001","149.079172"
"Quairading Hospital","08 9645 1100","Harris Street","Quairading","6383","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=155","Regional hospital","Public","<50","-32.014481000000004","117.402627"
"Queanbeyan Hospital","02 6150 7000","16 Erin Street","Queanbeyan","2620","NSW","Southern NSW","South Eastern NSW","","Small hospital with an emergency department","Public","50-99","-35.347684999999998","149.232294"
"Queen Elizabeth Centre [Noble Park]","03 9549 2777","53 Thomas Street","Noble Park","3174","Vic","Victoria Virtual Local Hospital Network","South Eastern Melbourne","www.qec.org.au","Early parenting centre","Public","<50","-37.972053000000002","145.17828499999999"
"Queen Elizabeth II Jubilee Hospital","07 3275 6111","Corner of Kessels and Troughton Roads","Coopers Plains","4108","Qld","Metro South (Qld)","Brisbane South","www.health.qld.gov.au/services/metrosouth/qeii-hosp.asp","Large metropolitan hospital with an emergency department","Public","200-500","-27.559673","153.04885200000001"
"Queensland Children’s Hospital","07 3068 1111","501 Stanley Street","South Brisbane","4101","Qld","Children's Health Queensland","Brisbane South","www.childrens.health.qld.gov.au/lcch/","Specialist children's hospital with an emergency department","Public","200-500","-27.484304999999999","153.02671699999999"
"Queensland Eye Hospital","07 3236 9844","55 Little Edward Street","Spring Hill","4000","Qld","","","http://www.curagroup.com.au/queensland-eye-hospital","","Private","<50","-27.461300000000001","153.02454700000001"
"Quilpie Hospital","07 4656 0100","30 Gyrica Street","Quilpie","4480","Qld","South West (Qld)","Western Queensland","www.health.qld.gov.au/services/southwest/swest_quilpie_hosp.asp","Regional hospital","Public","<50","-26.616519","144.27461700000001"
"Quirindi Hospital","02 6746 0200","Nowland Street","Quirindi","2343","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50","-31.500344999999999","150.67662100000001"
"Quorn Health Service","08 8648 7888","Hospital Road","Quorn","5433","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/quornhospital","Regional hospital","Public","<50","-32.350917000000003","138.038138"
"Radiation Oncology Institute - Gosford","02 4349 8000","41 William Street","Gosford","2250","NSW","","","https://www.radiationoncologycentres.com.au/centres/gosford/","","Private","","-33.427045999999997","151.34584799999999"
"Radiation Oncology Institute - The Sydney Adventist Hospital Wahroonga","02 9487 9300","185 Fox Valley Road","Wahroonga","2076","NSW","","","http://www.sah.org.au/radiotherapy","","Private","","-33.733389000000003","151.09860599999999"
"Ravensthorpe Health Centre","08 9838 2211","Martin Street","Ravensthorpe","6346","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=157","Regional hospital","Public","<50","-33.584918000000002","120.045461"
"Redcliffe Hospital","07 3883 7777","Anzac Avenue","Redcliffe","4020","Qld","Metro North (Qld)","Brisbane North","www.health.qld.gov.au/services/metronorth/metronorth_redc_hosp.asp","Large metropolitan hospital with an emergency department","Public","200-500","-27.228269000000001","153.105245"
"Redland Hospital","07 3488 3111","Weippin Street","Cleveland","4163","Qld","Metro South (Qld)","Brisbane South","www.health.qld.gov.au/services/metrosouth/redland-hosp.asp","Medium metropolitan hospital with an emergency department","Public","100-199","-27.539992000000002","153.25137899999999"
"Renmark Paringa District Hospital","08 8580 4100","Ral Ral Avenue","Renmark","5341","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/renmarkhospital","Small hospital","Public","<50","-34.164836000000001","140.745205"
"Richmond Hospital","07 4741 6100","Gallagher Drive","Richmond","4822","Qld","Townsville","Northern Queensland","www.health.qld.gov.au/services/townsville/tville_rich_hc.asp","Regional hospital","Public","<50","-20.738726","143.15047100000001"
"Ringwood Private Hospital","03 8804 4000","36 Mt Dandenong Road","Ringwood","3135","Vic","","","www.ringwoodprivatehospital.com.au","","Private","50-99","-37.811523000000001","145.243629"
"Rivercity Private Hospital","","401 Milton Road","Auchenflower","4066","Qld","","","","","Private","<50","-27.473490999999999","152.99513200000001"
"Riverina Day Surgery","02 6925 6256","2-8 Meurant Avenue","Wagga Wagga","2650","NSW","","","http://www.curagroup.com.au/riverina-day-surgery","","Private","","-35.120903300000002","147.3538092"
"Riverland General Hospital","08 8580 2400","Maddern Street","Berri","5343","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/riverlandhospital","Small hospital with an emergency department","Public","50-99","-34.276054000000002","140.60098400000001"
"Riverlands Drug and Alcohol Centre","02 6620 7600","Hunter Street","Lismore","2480","NSW","Northern NSW","North Coast","","Drug and alcohol hospital","Public","<50","-28.808340000000001","153.29112000000001"
"Riverton District Soldiers' Memorial Hospital","08 8847 2300","23 Moorhouse Terrace","Riverton","5412","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/rivertonhospital","Regional hospital","Public","<50","-34.160353000000001","138.74265700000001"
"Robina Hospital","07 5668 6000","2 Bayberry Lane","Robina","4226","Qld","Gold Coast","Gold Coast","www.health.qld.gov.au/services/goldcoast/gcoast_robina_hosp.asp","Medium metropolitan hospital with an emergency department","Public","200-500","-28.072198","153.377284"
"Robina Procedure Centre","07 5592 7999","4110, Level 3, Robina Town Centre","Robina","4230","Qld","","","","","Private","<50","-28.077603","153.3843"
"Robinvale District Health Services","03 5051 8111","128-132 Latje Road","Robinvale","3549","Vic","Robinvale District Health Services","Murray","www.rdhs.com.au","Regional hospital","Public","<50","-34.584145999999997","142.78136699999999"
"Rochester & Elmore District Health Service","03 5484 4400","1 Pascoe Street","Rochester","3561","Vic","Rochester and Elmore District Health Service","Murray","www.redhs.com.au","Regional hospital","Public","<50","-36.366579000000002","144.69775100000001"
"Rockhampton Hospital","07 4920 6211","Canning Street","Rockhampton","4700","Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/rockhampton.asp","Large regional hospital with an emergency department","Public","200-500","-23.379525000000001","150.494542"
"Rockingham General Hospital","08 9599 4000","Elanora Drive","Cooloongup","6168","WA","South Metropolitan Health Service (WA)","Perth South","www.rkpg.health.wa.gov.au","Large metropolitan hospital with an emergency department","Public","100-199","-32.291359","115.770899"
"Roebourne Hospital","08 9182 0200","42-44 Hampton Street","Roebourne","6718","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=256","Regional hospital","Public","<50","-20.776316999999999","117.14395500000001"
"Roma Hospital","07 4624 2700","197-234 Mcdowall Street","Roma","4455","Qld","South West (Qld)","Western Queensland","www.health.qld.gov.au/services/southwest/swest_roma_hosp.asp","Small hospital","Public","<50","-26.568828","148.775846"
"Rosebud Hospital","03 5986 0666","1527 Point Nepean Road","Rosebud","3939","Vic","Peninsula Health (Vic)","South Eastern Melbourne","","Medium metropolitan hospital with an emergency department","Public","50-99","-38.362167999999997","144.88489899999999"
"Rosebud SurgiCentre","03 5986 0500","1537 Point Nepean Road","Rosebud West","3940","Vic","","","www.rosebudsurgicentre.com","","Private","","-38.361747999999999","144.883554"
"Roxby Downs Health Service","08 8671 9020","16-28 Burgoyne Street","Roxby Downs","5725","SA","Country Health SA","Country SA","http://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+-+country+south+australia/far+north+hospitals+and+health+services/roxby+downs+hospital/services+at+roxby+downs+health+service","Regional hospital","Public","<50","-30.562778000000002","136.894261"
"Royal Adelaide Hospital","08 7074 0000","Port Road","Adelaide","5000","SA","Central Adelaide","Adelaide","https://www.newrah.sa.gov.au/","Major hospital with an emergency department","Public",">500","-34.920972999999996","138.58739299999999"
"Royal Brisbane & Women's Hospital","07 3646 8111","Butterfield Street","Herston","4006","Qld","Metro North (Qld)","Brisbane North","www.health.qld.gov.au/services/metronorth/metronorth_rbwh.asp","Major hospital with an emergency department","Public",">500","-27.446971999999999","153.02788799999999"
"Royal Children's Hospital [Parkville]","03 9345 5522","50 Flemington Road","Parkville","3052","Vic","Royal Children's Hospital (Melbourne)","North Western Melbourne","www.rch.org.au/rch","Specialist children's hospital with an emergency department","Public","200-500","-37.794997000000002","144.95085900000001"
"Royal Darwin Hospital","08 8922 8888","Rocklands Drive","Tiwi","0810","NT","Top End (NT)","Northern Territory","www.health.nt.gov.au/Hospitals/Royal_Darwin_Hospital/index.aspx","Major hospital with an emergency department","Public","200-500","-12.355805999999999","130.881789"
"Royal Hobart Hospital","03 6222 8308","48 Liverpool Street","Hobart","7000","Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/hospitals/hospitals","Major hospital with an emergency department","Public","200-500","-42.880028000000003","147.33013600000001"
"Royal Hospital for Women","02 9382 6111","Barker Street","Randwick","2031","NSW","South Eastern Sydney","Central and Eastern Sydney","www.seslhd.health.nsw.gov.au/RHW/default.asp","Specialist women's hospital","Public","100-199","-33.919035000000001","151.23793800000001"
"Royal Melbourne Hospital [Parkville]","03 9342 7000","300 Grattan Street","Parkville","3050","Vic","Melbourne Health","North Western Melbourne","www.mh.org.au","Major hospital with an emergency department","Public",">500","-37.799258999999999","144.956864"
"Royal Melbourne Hospital- Royal Park Campus","03 8387 2000","34-54 Poplar Road","Parkville","3052","Vic","Melbourne Health","North Western Melbourne","www.mh.org.au","Specialist rehabilitation hospital","Public","100-199","-37.778813","144.948049"
"Royal North Shore Hospital","02 9926 7111","1 Reserve Road","St Leonards","2065","NSW","Northern Sydney","Northern Sydney","www.nslhd.health.nsw.gov.au/Hospitals/RNSH/","Major hospital with an emergency department","Public",">500","-33.821311999999999","151.18973500000001"
"Royal Perth Hospital Wellington Street Campus","08 9224 2244","Wellington Street","Perth","6000","WA","East Metropolitan Health Service (WA)","Perth North","www.rph.wa.gov.au","Major hospital with an emergency department","Public","200-500","-31.954242000000001","115.8663"
